a1	ā
a2	á
a3	ǎ
a4	à
a5	a
ai1	āi
ai2	ái
ai3	ǎi
ai4	ài
ai5	ai
an1	ān
an2	án
an3	ǎn
an4	àn
an5	an
ang1	āng
ang2	áng
ang3	ǎng
ang4	àng
ang5	ang
ao1	āo
ao2	áo
ao3	ǎo
ao4	ào
ao5	ao
ba1	bā
ba2	bá
ba3	bǎ
ba4	bà
ba5	ba
bai1	bāi
bai2	bái
bai3	bǎi
bai4	bài
bai5	bai
ban1	bān
ban2	bán
ban3	bǎn
ban4	bàn
ban5	ban
bang1	bāng
bang2	báng
bang3	bǎng
bang4	bàng
bang5	bang
bao1	bāo
bao2	báo
bao3	bǎo
bao4	bào
bao5	bao
bei1	bēi
bei2	béi
bei3	běi
bei4	bèi
bei5	bei
ben1	bēn
ben2	bén
ben3	běn
ben4	bèn
ben5	ben
beng1	bēng
beng2	béng
beng3	běng
beng4	bèng
beng5	beng
bi1	bī
bi2	bí
bi3	bǐ
bi4	bì
bi5	bi
bian1	biān
bian2	bián
bian3	biǎn
bian4	biàn
bian5	bian
biao1	biāo
biao2	biáo
biao3	biǎo
biao4	biào
biao5	biao
bie1	biē
bie2	bié
bie3	biě
bie4	biè
bie5	bie
bin1	bīn
bin2	bín
bin3	bǐn
bin4	bìn
bin5	bin
bing1	bīng
bing2	bíng
bing3	bǐng
bing4	bìng
bing5	bing
bo1	bō
bo2	bó
bo3	bǒ
bo4	bò
bo5	bo
bu1	bū
bu2	bú
bu3	bǔ
bu4	bù
bu5	bu
ca1	cā
ca2	cá
ca3	cǎ
ca4	cà
ca5	ca
cai1	cāi
cai2	cái
cai3	cǎi
cai4	cài
cai5	cai
can1	cān
can2	cán
can3	cǎn
can4	càn
can5	can
cang1	cāng
cang2	cáng
cang3	cǎng
cang4	càng
cang5	cang
cao1	cāo
cao2	cáo
cao3	cǎo
cao4	cào
cao5	cao
ce1	cē
ce2	cé
ce3	cě
ce4	cè
ce5	ce
cen1	cēn
cen2	cén
cen3	cěn
cen4	cèn
cen5	cen
ceng1	cēng
ceng2	céng
ceng3	cěng
ceng4	cèng
ceng5	ceng
cha1	chā
cha2	chá
cha3	chǎ
cha4	chà
cha5	cha
chai1	chāi
chai2	chái
chai3	chǎi
chai4	chài
chai5	chai
chan1	chān
chan2	chán
chan3	chǎn
chan4	chàn
chan5	chan
chang1	chāng
chang2	cháng
chang3	chǎng
chang4	chàng
chang5	chang
chao1	chāo
chao2	cháo
chao3	chǎo
chao4	chào
chao5	chao
che1	chē
che2	ché
che3	chě
che4	chè
che5	che
chen1	chēn
chen2	chén
chen3	chěn
chen4	chèn
chen5	chen
cheng1	chēng
cheng2	chéng
cheng3	chěng
cheng4	chèng
cheng5	cheng
chi1	chī
chi2	chí
chi3	chǐ
chi4	chì
chi5	chi
chong1	chōng
chong2	chóng
chong3	chǒng
chong4	chòng
chong5	chong
chou1	chōu
chou2	chóu
chou3	chǒu
chou4	chòu
chou5	chou
chu1	chū
chu2	chú
chu3	chǔ
chu4	chù
chu5	chu
chua1	chuā
chua2	chuá
chua3	chuǎ
chua4	chuà
chua5	chua
chuai1	chuāi
chuai2	chuái
chuai3	chuǎi
chuai4	chuài
chuai5	chuai
chuan1	chuān
chuan2	chuán
chuan3	chuǎn
chuan4	chuàn
chuan5	chuan
chuang1	chuāng
chuang2	chuáng
chuang3	chuǎng
chuang4	chuàng
chuang5	chuang
chui1	chuī
chui2	chuí
chui3	chuǐ
chui4	chuì
chui5	chui
chun1	chūn
chun2	chún
chun3	chǔn
chun4	chùn
chun5	chun
chuo1	chuō
chuo2	chuó
chuo3	chuǒ
chuo4	chuò
chuo5	chuo
ci1	cī
ci2	cí
ci3	cǐ
ci4	cì
ci5	ci
cong1	cōng
cong2	cóng
cong3	cǒng
cong4	còng
cong5	cong
cou1	cōu
cou2	cóu
cou3	cǒu
cou4	còu
cou5	cou
cu1	cū
cu2	cú
cu3	cǔ
cu4	cù
cu5	cu
cuan1	cuān
cuan2	cuán
cuan3	cuǎn
cuan4	cuàn
cuan5	cuan
cui1	cuī
cui2	cuí
cui3	cuǐ
cui4	cuì
cui5	cui
cun1	cūn
cun2	cún
cun3	cǔn
cun4	cùn
cun5	cun
cuo1	cuō
cuo2	cuó
cuo3	cuǒ
cuo4	cuò
cuo5	cuo
da1	dā
da2	dá
da3	dǎ
da4	dà
da5	da
dai1	dāi
dai2	dái
dai3	dǎi
dai4	dài
dai5	dai
dan1	dān
dan2	dán
dan3	dǎn
dan4	dàn
dan5	dan
dang1	dāng
dang2	dáng
dang3	dǎng
dang4	dàng
dang5	dang
dao1	dāo
dao2	dáo
dao3	dǎo
dao4	dào
dao5	dao
de1	dē
de2	dé
de3	dě
de4	dè
de5	de
dei1	dēi
dei2	déi
dei3	děi
dei4	dèi
dei5	dei
deng1	dēng
deng2	déng
deng3	děng
deng4	dèng
deng5	deng
di1	dī
di2	dí
di3	dǐ
di4	dì
di5	di
dian1	diān
dian2	dián
dian3	diǎn
dian4	diàn
dian5	dian
diao1	diāo
diao2	diáo
diao3	diǎo
diao4	diào
diao5	diao
die1	diē
die2	dié
die3	diě
die4	diè
die5	die
ding1	dīng
ding2	díng
ding3	dǐng
ding4	dìng
ding5	ding
diu1	diū
diu2	diú
diu3	diǔ
diu4	diù
diu5	diu
dong1	dōng
dong2	dóng
dong3	dǒng
dong4	dòng
dong5	dong
dou1	dōu
dou2	dóu
dou3	dǒu
dou4	dòu
dou5	dou
du1	dū
du2	dú
du3	dǔ
du4	dù
du5	du
duan1	duān
duan2	duán
duan3	duǎn
duan4	duàn
duan5	duan
dui1	duī
dui2	duí
dui3	duǐ
dui4	duì
dui5	dui
dun1	dūn
dun2	dún
dun3	dǔn
dun4	dùn
dun5	dun
duo1	duō
duo2	duó
duo3	duǒ
duo4	duò
duo5	duo
e1	ē
e2	é
e3	ě
e4	è
e5	e
ei1	ēi
ei2	éi
ei3	ěi
ei4	èi
ei5	ei
en1	ēn
en2	én
en3	ěn
en4	èn
en5	en
eng1	ēng
eng2	éng
eng3	ěng
eng4	èng
eng5	eng
er1	ēr
er2	ér
er3	ěr
er4	èr
er5	er
fa1	fā
fa2	fá
fa3	fǎ
fa4	fà
fa5	fa
fan1	fān
fan2	fán
fan3	fǎn
fan4	fàn
fan5	fan
fang1	fāng
fang2	fáng
fang3	fǎng
fang4	fàng
fang5	fang
fei1	fēi
fei2	féi
fei3	fěi
fei4	fèi
fei5	fei
fen1	fēn
fen2	fén
fen3	fěn
fen4	fèn
fen5	fen
feng1	fēng
feng2	féng
feng3	fěng
feng4	fèng
feng5	feng
fo1	fō
fo2	fó
fo3	fǒ
fo4	fò
fo5	fo
fou1	fōu
fou2	fóu
fou3	fǒu
fou4	fòu
fou5	fou
fu1	fū
fu2	fú
fu3	fǔ
fu4	fù
fu5	fu
ga1	gā
ga2	gá
ga3	gǎ
ga4	gà
ga5	ga
gai1	gāi
gai2	gái
gai3	gǎi
gai4	gài
gai5	gai
gan1	gān
gan2	gán
gan3	gǎn
gan4	gàn
gan5	gan
gang1	gāng
gang2	gáng
gang3	gǎng
gang4	gàng
gang5	gang
gao1	gāo
gao2	gáo
gao3	gǎo
gao4	gào
gao5	gao
ge1	gē
ge2	gé
ge3	gě
ge4	gè
ge5	ge
gei1	gēi
gei2	géi
gei3	gěi
gei4	gèi
gei5	gei
gen1	gēn
gen2	gén
gen3	gěn
gen4	gèn
gen5	gen
geng1	gēng
geng2	géng
geng3	gěng
geng4	gèng
geng5	geng
gong1	gōng
gong2	góng
gong3	gǒng
gong4	gòng
gong5	gong
gou1	gōu
gou2	góu
gou3	gǒu
gou4	gòu
gou5	gou
gu1	gū
gu2	gú
gu3	gǔ
gu4	gù
gu5	gu
gua1	guā
gua2	guá
gua3	guǎ
gua4	guà
gua5	gua
guai1	guāi
guai2	guái
guai3	guǎi
guai4	guài
guai5	guai
guan1	guān
guan2	guán
guan3	guǎn
guan4	guàn
guan5	guan
guang1	guāng
guang2	guáng
guang3	guǎng
